Identifier	F519_33h	F519_41h	F519_45h	F519_49h	F519_53h	F519_57h	F519_61h	F519_65h	F519_69h	F521_33h	F521_41h	F521_45h	F521_49h	F521_53h	F521_57h	F521_61h	F521_65h	F521_69h	F522_33h	F522_41h	F522_45h	F522_49h	F522_53h	F522_57h	F522_61h	F522_65h	F522_69h
SCO6565	10.227641502036407	10.324400944592405	10.305068672210663	9.687827990884164	10.180262258628506	10.015866595622704	10.171753847241007	10.266805114633547	10.460302718880643	10.263496835096488	10.416873625373885	10.274161502802626	9.800288971313773	10.235969974291516	10.079322282990496	10.222779419876169	10.42539235448625	10.280668418565618	10.564401146286462	10.325846372631105	10.361992353693354	9.72543228694446	10.131819857827725	10.114554711007015	10.232504059511335	10.371360376863676	10.328858025185434
SCO6566	9.933312699496257	9.96542292741784	10.017561052191798	9.304731543245351	9.32102586271467	9.479522526078954	9.633015021155217	9.52699279320635	9.479079314689749	9.925509189492862	9.851741148546221	9.624678374801587	9.470168477235557	9.560907473651042	9.604334710778001	9.542882394091452	9.415231204902181	9.394861876342972	9.83894748184208	9.8634771504165	9.78153736450543	9.468796560934763	9.49814908302806	9.584567083869452	9.466446095888356	9.45725714652004	9.490409440093238
SCO6567	6.449544502453832	6.803909387765137	7.285746294932526	6.875121010908215	6.912463581030574	7.0548055333704305	7.104484796272178	7.164081544103723	6.421016266255584	7.732044203304538	6.276633964945671	7.161205676823093	6.15130969469725	7.107071335689882	7.207390544089473	7.229369470839838	7.109234720972624	7.278993696354817	6.546395183276466	6.706277267654873	6.393690161061622	7.3193843273227905	6.951990755367403	6.66415745028307	6.794640543943646	6.817553258740127	7.042577936600925
SCO6568	5.5848251925485535	6.138955488697253	6.41156908971991	6.050182567298739	6.713612287195541	6.387918669188427	6.467104753007817	6.547656016945365	5.675520776196583	6.574497193780731	6.023661376281753	6.471471408763678	5.879121185692381	6.029351494893128	6.323711576011105	5.8206571921464985	6.253879748081897	6.461658056557961	5.83126312026337	5.701300414198405	6.143249328730954	6.424175331891145	6.41156908971991	6.110723637613475	6.182537910495872	6.283601456892194	6.2512380278172515
SCO6569	6.553248304671476	6.138955488697253	5.93883459865094	6.153990069860264	7.100036030944349	7.326143352447412	6.571688189603014	6.65963143702089	6.873369657790639	6.265505048881957	6.786593074172766	6.272597960912303	6.487568774629196	6.405510972510042	6.861475195466248	6.365338971061983	6.730245474892611	6.381392163638708	6.792174217476713	6.936717194732318	6.538333511702582	5.9862096171548975	6.802303842238215	6.74476096674106	6.8259029923282215	6.415149857221306	6.484095454513184
SCO6570	6.215045209991891	6.606361401689221	7.335919730855878	6.90415942985455	6.932701583229554	6.975903683168008	7.167363391177876	6.876828631087851	6.303689867718217	7.49534998567008	6.0562343785202035	7.266855056033082	6.3013654135822925	7.107071335689882	7.276368452444707	7.161205676823093	6.673631329827383	7.058105122556077	6.141492057269509	6.205376173712181	6.41600631177359	7.292477190266671	6.876828631087851	6.643960585194118	6.86326892526144	7.006450286917378	7.342358792877109
SCO6571	5.871995436991128	5.9372176130734085	6.326548954941016	6.226561448883226	6.228739322267154	6.513752955092867	6.490310877524259	6.520188189177102	6.393370198257329	6.265505048881957	5.847160954673708	6.2976092494150695	5.923062836624549	6.109996644770923	6.207345913545695	6.4200335305663625	6.502197847755372	6.523987206401798	6.141492057269509	5.834686709979439	6.177544278570286	6.402403118859941	6.247249773762366	6.490310877524259	6.636202488217399	6.561516195260891	6.61461109746662
SCO6572	7.282553404253775	7.042577936600925	7.784235603019951	7.545842899351069	8.079813512666115	7.934156587120093	8.2451086390933	8.426588004594665	6.802303842238215	8.300583137857492	6.89965195275161	8.523908036588999	7.0538583085634645	7.810340196497302	8.166419187322933	8.012492512684927	7.9892039366479635	8.4042840858578	7.121656388187118	7.18235427055273	7.311939054803033	8.23198806548286	7.70671538775376	7.593822027016692	8.321894058992074	8.050195048247204	8.207771656700409
SCO6573	5.924015848696948	6.4303305620267395	7.22504320046286	6.7808173404956085	6.315468238152136	6.283601456892194	6.931166235102527	6.520188189177102	5.306261788498412	7.745805027220098	5.394075656185174	7.110171608403365	5.923062836624549	6.527535614071878	6.994394133669503	6.159360556322824	6.125832897203213	7.058105122556077	5.738647959737284	6.205376173712181	5.834054357632811	7.465998805587387	6.6738894629932695	6.166126927711349	6.235959150921611	6.541743915002042	6.92222518568207
SCO6574	3.611148718541094	6.0537229556167	6.169841500366024	5.477634060338835	5.038038174833725	3.6908926011274112	5.038038174833725	3.9759217842772667	3.8818638885241095	6.357532279789038	3.667150537521439	5.536625459704339	3.9231712169082167	4.785407034355696	5.4779080788930585	4.519585841462814	4.227309066518608	5.24379127229391	4.8860225264498265	4.660490792324904	5.015978533236135	7.5304062474468765	5.698378490696266	5.066491154573681	4.069582808944316	4.873257361255796	6.026726638029246
SCO6575	5.519518346974652	5.9372176130734085	6.37592040046254	6.3105205099145	6.277070156344795	5.972774832783378	6.096526954095228	5.9862096171548975	0.886104166800214	6.804685016683903	4.458316655168361	6.400994887892931	5.524559110985161	5.833545455106476	6.403000143503025	6.103213264933026	5.584569529594386	6.193017248054287	4.7761064702678775	5.651744997140015	5.015978533236135	6.7526834134654745	5.832153339915164	5.5562582175117825	5.677928469400724	5.565622558688336	5.9604168545525535
SCO6576	2.6830016942227113	5.321355112045196	6.066496080455137	5.389074698893492	5.392056863274032	4.609582211409386	5.58287531943014	5.170152377993828	4.432723459543865	6.468145642886503	2.83247423824485	5.75899543801458	5.0518740548771195	5.584569529594386	5.74580957841418	5.354759233201301	5.083910595538807	5.792602830014584	4.5203602891608625	4.426530394986908	5.284928150076167	6.402403118859941	5.462107551982314	5.3458642515819825	5.028904805916243	5.075859414793873	5.538619260514247
